iter	Passed	Remaining
671	8311	6530
672	8325	6519
673	8335	6505
674	8349	6493
675	8363	6482
676	8374	6469
677	8386	6456
678	8396	6442
679	8408	6430
680	8419	6416
681	8429	6402
682	8439	6388
683	8451	6376
684	8462	6362
685	8476	6351
686	8487	6337
687	8499	6325
688	8512	6313
689	8525	6301
690	8535	6287
691	8546	6274
692	8556	6259
693	8569	6248
694	8580	6234
695	8592	6221
696	8605	6210
697	8618	6198
698	8631	6186
699	8640	6171
700	8653	6159
701	8664	6146
702	8677	6134
703	8689	6122
704	8699	6108
705	8712	6096
706	8725	6084
707	8733	6069
708	8746	6057
709	8758	6044
710	8769	6031
711	8782	6019
712	8795	6007
713	8807	5995
714	8821	5983
715	8835	5972
716	8847	5960
717	8858	5946
718	8869	5933
719	8884	5922
720	8897	5910
721	8910	5899
722	8921	5886
723	8934	5874
724	8947	5862
725	8960	5849
726	8970	5836
727	8983	5824
728	8994	5811
729	9007	5799
730	9017	5785
731	9028	5772
732	9039	5758
733	9050	5746
734	9063	5733
735	9077	5722
736	9090	5710
737	9100	5696
738	9111	5684
739	9125	5672
740	9135	5658
741	9147	5646
742	9160	5634
743	9173	5622
744	9183	5609
745	9196	5596
746	9209	5584
747	9219	5570
748	9231	5558
749	9243	5546
750	9254	5532
751	9264	5519
752	9274	5505
753	9287	5493
754	9302	5482
755	9312	5469
756	9324	5457
757	9341	5447
758	9352	5434
759	9368	5424
760	9380	5411
761	9393	5399
762	9405	5386
763	9419	5375
764	9432	5363
765	9445	5351
766	9459	5340
767	9469	5326
768	9481	5313
769	9494	5301
770	9507	5289
771	9517	5276
772	9526	5262
773	9537	5249
774	9549	5237
775	9563	5225
776	9573	5212
777	9585	5199
778	9595	5185
779	9614	5177
780	9629	5165
781	9644	5155
782	9665	5147
783	9679	5136
784	9691	5123
785	9702	5110
786	9711	5096
787	9723	5083
788	9735	5071
789	9747	5058
790	9760	5046
791	9770	5033
792	9782	5020
793	9794	5008
794	9808	4996
795	9821	4984
796	9831	4971
797	9845	4959
798	9856	4946
799	9867	4933
800	9880	4921
801	9891	4908
802	9903	4896
803	9913	4882
804	9926	4870
805	9938	4858
806	9949	4845
807	9961	4833
808	9973	4820
809	9985	4807
810	9997	4795
811	10010	4783
812	10019	4769
813	10033	4757
814	10043	4744
815	10054	4731
816	10067	4719
817	10080	4707
818	10092	4694
819	10105	4682
820	10118	4671
821	10130	4658
822	10142	4646
823	10153	4633
824	10162	4619
825	10174	4606
826	10187	4594
827	10198	4582
828	10213	4570
829	10227	4559
830	10248	4550
831	10267	4541
832	10278	4528
833	10290	4515
834	10301	4502
835	10313	4490
836	10329	4479
837	10340	4466
838	10351	4454
839	10370	4444
840	10380	4431
841	10390	4418
842	10404	4406
843	10416	4393
844	10430	4382
845	10440	4368
846	10453	4356
847	10464	4343
848	10475	4330
849	10487	4318
850	10499	4305
851	10510	4292
852	10521	4280
853	10532	4267
854	10546	4255
855	10559	4243
856	10571	4231
857	10581	4217
858	10591	4204
859	10607	4193
860	10619	4181
861	10632	4169
862	10645	4157
863	10655	4143
864	10666	4131
865	10680	4119
866	10692	4106
867	10703	4093
868	10714	4081
869	10727	4069
870	10747	4059
871	10763	4048
872	10775	4036
873	10790	4024
874	10802	4012
875	10815	4000
876	10828	3988
877	10841	3976
878	10854	3963
879	10867	3951
880	10884	3941
881	10894	3928
882	10905	3915
883	10916	3902
884	10926	3889
885	10937	3876
886	10949	3863
887	10959	3850
888	10973	3838
889	10985	3826
890	10998	3814
891	11010	3801
892	11020	3788
893	11034	3777
894	11048	3765
895	11060	3752
896	11073	3740
897	11084	3727
898	11097	3715
899	11112	3704
900	11136	3695
901	11160	3687
902	11179	3677
903	11207	3669
904	11236	3662
905	11255	3652
906	11281	3644
907	11317	3639
908	11347	3632
